iter	Passed	Remaining
0	145	145691
1	146	73327
2	148	49201
3	149	37125
4	150	29878
5	151	25066
6	152	21641
7	153	19070
8	154	17061
9	156	15448
10	157	14141
11	158	13076
12	160	12156
13	161	11363
14	162	10679
15	163	10079
16	165	9558
17	166	9087
18	167	8663
19	169	8284
20	170	7944
21	171	7640
22	173	7360
23	174	7099
24	175	6858
25	177	6632
26	178	6427
27	179	6237
28	180	6059
29	182	5896
30	183	5738
31	184	5594
32	186	5460
33	187	5336
34	189	5215
35	190	5098
36	191	4990
37	193	4888
38	194	4788
39	195	4693
40	196	4603
41	198	4520
42	199	4437
43	200	4360
44	201	4285
45	203	4216
46	204	4147
47	205	4081
48	207	4017
49	208	3954
50	209	3895
51	210	3836
52	211	3780
53	212	3724
54	213	3668
55	214	3615
56	215	3564
57	216	3515
58	217	3469
59	218	3423
60	219	3378
61	220	3338
62	221	3299
63	222	3258
64	223	3220
65	224	3182
66	225	3145
67	226	3103
68	227	3071
69	228	3038
70	229	3005
71	230	2974
72	231	2943
73	232	2915
74	234	2886
75	235	2858
76	236	2830
77	237	2801
78	237	2774
79	238	2747
80	239	2720
81	240	2693
82	241	2670
83	242	2645
84	243	2618
85	244	2594
86	244	2568
87	245	2546
88	246	2524
89	247	2502
90	248	2481
91	249	2461
92	250	2441
93	251	2421
94	252	2402
95	253	2382
96	253	2364
97	254	2346
98	255	2329
99	256	2312
100	257	2295
101	258	2274
102	259	2258
103	260	2242
104	261	2226
105	262	2210
106	263	2195
107	263	2180
108	264	2165
109	265	2150
110	266	2136
111	267	2122
112	268	2108
113	269	2094
114	270	2080
115	271	2066
116	272	2053
117	273	2040
118	273	2026
119	274	2014
120	275	2002
121	276	1990
122	277	1975
123	277	1963
124	278	1951
125	279	1940
126	280	1929
127	281	1916
128	282	1905
129	283	1896
130	284	1885
131	285	1875
132	286	1865
133	286	1854
134	287	1844
135	288	1835
136	289	1825
137	290	1814
138	291	1805
139	292	1796
140	293	1787
141	294	1778
142	295	1769
143	296	1761
144	297	1753
145	298	1744
146	299	1735
147	300	1727
148	300	1719
149	301	1711
150	302	1703
151	303	1694
152	304	1687
153	305	1679
154	306	1671
155	307	1663
156	308	1655
157	309	1648
158	310	1640
159	311	1633
160	312	1626
161	313	1619
162	314	1612
163	315	1605
164	315	1598
165	316	1591
166	317	1585
167	318	1578
168	319	1571
169	320	1564
170	321	1558
171	322	1552
172	323	1545
173	324	1539
174	325	1533
175	326	1527
176	327	1520
177	328	1514
178	328	1508
179	329	1502
180	330	1494
181	331	1488
182	332	1483
183	333	1477
184	334	1471
185	334	1466
186	335	1460
187	336	1454
188	337	1449
189	338	1443
190	339	1438
191	340	1432
192	341	1427
193	342	1422
194	343	1417
195	344	1412
196	345	1406
197	346	1401
198	346	1396
199	347	1390
200	348	1386
201	349	1381
202	350	1376
203	351	1371
204	352	1366
205	353	1361
206	354	1357
207	355	1352
208	356	1347
209	357	1343
210	357	1338
211	358	1333
212	359	1329
213	360	1324
214	361	1320
215	362	1316
216	363	1311
217	364	1307
218	365	1303
219	366	1298
220	367	1294
221	368	1290
222	369	1285
223	369	1281
224	370	1277
225	371	1273
226	372	1269
227	373	1264
228	374	1260
229	375	1257
230	376	1253
231	377	1249
232	378	1245
233	379	1242
234	380	1238
235	381	1234
236	382	1230
237	383	1227
238	384	1223
239	385	1219
240	386	1215
241	386	1211
242	387	1208
243	388	1204
244	389	1200
245	390	1197
246	391	1193
247	392	1190
248	393	1186
249	394	1183
250	395	1179
251	396	1176
252	397	1172
253	398	1169
254	399	1166
255	400	1162
256	400	1159
257	401	1155
258	402	1152
259	403	1149
260	404	1145
261	405	1142
262	406	1139
263	407	1136
264	408	1132
265	409	1129
266	410	1126
267	411	1123
268	412	1120
269	413	1116
270	414	1113
271	414	1110
272	415	1107
273	416	1103
274	417	1100
275	418	1097
276	419	1094
277	420	1091
278	421	1088
279	422	1086
280	423	1083
281	424	1080
282	425	1078
283	426	1075
284	427	1072
285	428	1069
286	429	1066
287	430	1064
288	431	1061
289	432	1058
290	433	1055
291	434	1052
292	435	1049
293	436	1047
294	437	1044
295	437	1041
296	438	1038
297	439	1035
298	440	1033
299	441	1030
300	442	1027
301	443	1024
302	444	1021
303	445	1019
304	446	1016
305	446	1013
306	447	1011
307	448	1008
308	449	1005
309	450	1003
310	451	1000
311	452	998
312	453	995
313	454	992
314	455	990
315	456	987
316	457	985
317	458	982
318	459	979
319	459	977
320	460	974
321	461	972
322	462	970
323	463	967
324	464	965
325	465	962
326	466	960
327	467	957
328	468	955
329	469	953
330	470	950
331	471	948
332	472	945
333	473	943
334	474	941
335	474	938
336	475	936
337	476	933
338	477	931
339	478	928
340	479	926
341	480	924
342	481	922
343	482	919
344	483	917
345	484	915
346	485	913
347	486	910
348	487	908
349	487	906
350	488	903
351	489	901
352	490	899
353	491	897
354	492	894
